Date,t,X,X',H
12-Mar,1,74,1,
13-Mar,2,82,74,1.108108108
14-Mar,3,100,82,1.219512195
15-Mar,4,114,100,1.14
16-Mar,5,129,114,1.131578947
17-Mar,6,143,129,1.108527132
18-Mar,7,169,143,1.181818182
19-Mar,8,194,169,1.147928994
20-Mar,9,249,194,1.283505155
21-Mar,10,332,249,1.333333333
22-Mar,11,396,332,1.192771084
23-Mar,12,499,396,1.26010101
24-Mar,13,536,499,1.074148297
25-Mar,14,657,536,1.225746269
26-Mar,15,727,657,1.106544901
27-Mar,16,887,727,1.220082531
28-Mar,17,987,887,1.112739572
29-Mar,18,1024,987,1.037487335
30-Mar,19,1251,1024,1.221679688
31-Mar,20,1397,1251,1.116706635
01-Apr,21,1998,1397,1.430207588
02-Apr,22,2543,1998,1.272772773
03-Apr,23,3059,2543,1.202909949
04-Apr,24,3588,3059,1.172932331
05-Apr,25,4289,3588,1.195373467
06-Apr,26,4778,4289,1.11401259
07-Apr,27,5351,4778,1.119924655
08-Apr,28,5916,5351,1.105587741
09-Apr,29,6725,5916,1.136747803
10-Apr,30,7600,6725,1.130111524
11-Apr,31,8446,7600,1.111315789
12-Apr,32,9205,8446,1.089865025
13-Apr,33,10453,9205,1.13557849
14-Apr,34,11487,10453,1.098918971
15-Apr,35,12370,11487,1.076869505
16-Apr,36,13430,12370,1.085691188
17-Apr,37,14352,13430,1.068652271
18-Apr,38,16365,14352,1.140259197
19-Apr,39,17615,16365,1.076382524
20-Apr,40,18539,17615,1.052455294
21-Apr,41,20080,18539,1.083122067
22-Apr,42,21370,20080,1.064243028
23-Apr,43,23039,21370,1.07810014
24-Apr,44,24447,23039,1.061113764
25-Apr,45,26283,24447,1.075101239
26-Apr,46,27890,26283,1.061142183
27-Apr,47,29451,27890,1.055969882
28-Apr,48,31324,29451,1.063597161
29-Apr,49,33062,31324,1.055484612
30-Apr,50,34863,33062,1.054473414
01-May,51,37257,34863,1.068668789
02-May,52,39699,37257,1.06554473
03-May,53,42505,39699,1.070681881
04-May,54,46437,42505,1.092506764
05-May,55,49400,46437,1.063806878
06-May,56,52987,49400,1.072611336
07-May,57,56351,52987,1.06348727
08-May,58,59695,56351,1.059342336
09-May,59,62808,59695,1.052148421
10-May,60,67161,62808,1.069306458
11-May,61,70768,67161,1.053706764
12-May,62,74292,70768,1.049796518
13-May,63,78055,74292,1.050651483
14-May,64,81997,78055,1.050502851
15-May,65,85784,81997,1.046184617
16-May,66,90648,85784,1.05670055
17-May,67,95698,90648,1.055709999
18-May,68,100328,95698,1.048381366
19-May,69,106475,100328,1.061269038
20-May,70,112028,106475,1.052153088
21-May,71,118226,112028,1.055325454
22-May,72,124794,118226,1.055554616
23-May,73,131423,124794,1.053119541
24-May,74,138536,131423,1.054122947
25-May,75,144950,138536,1.046298435
26-May,76,150793,144950,1.040310452
27-May,77,158086,150793,1.048364314
28-May,78,165386,158086,1.046177397
29-May,79,173491,165386,1.049006566
30-May,80,181827,173491,1.048048602
31-May,81,190609,181827,1.048298658
01-Jun,82,198370,190609,1.04071686
02-Jun,83,207191,198370,1.044467409
03-Jun,84,216824,207191,1.046493332
04-Jun,85,226713,216824,1.04560842
05-Jun,86,236184,226713,1.041775284
06-Jun,87,246622,236184,1.044194357
07-Jun,88,257486,246622,1.04405122
08-Jun,89,265928,257486,1.032786249
09-Jun,90,274780,265928,1.033287206
10-Jun,91,287155,274780,1.045036029
11-Jun,92,298283,287155,1.03875259
12-Jun,93,309603,298283,1.037950537
13-Jun,94,321626,309603,1.038833603
14-Jun,95,332783,321626,1.03468936
15-Jun,96,343026,332783,1.030779817
16-Jun,97,354161,343026,1.032461096
17-Jun,98,367264,354161,1.036997298
18-Jun,99,381091,367264,1.037648667
19-Jun,100,395812,381091,1.038628569
20-Jun,101,411727,395812,1.040208483
21-Jun,102,426910,411727,1.036876377
22-Jun,103,440450,426910,1.031716287
23-Jun,104,456115,440450,1.035565899
24-Jun,105,472985,456115,1.036986286
25-Jun,106,491170,472985,1.038447308
26-Jun,107,509446,491170,1.037209113
27-Jun,108,529577,509446,1.039515474
28-Jun,109,549197,529577,1.037048437
29-Jun,110,567536,549197,1.033392389
30-Jun,111,585792,567536,1.032167122
01-Jul,112,605220,585792,1.033165356
02-Jul,113,627168,605220,1.036264499
03-Jul,114,649889,627168,1.036227933
04-Jul,115,673904,649889,1.036952464
05-Jul,116,697836,673904,1.035512477
06-Jul,117,720346,697836,1.032256863
07-Jul,118,743481,720346,1.032116511
08-Jul,119,769052,743481,1.034393616
09-Jul,120,794842,769052,1.033534793
10-Jul,121,822603,794842,1.034926438
11-Jul,122,850358,822603,1.033740456
12-Jul,123,879466,850358,1.034230289
13-Jul,124,907645,879466,1.032041034
14-Jul,125,937487,907645,1.032878493
15-Jul,126,970169,937487,1.034861283
16-Jul,127,1005637,970169,1.036558579
17-Jul,128,1040457,1005637,1.03462482
18-Jul,129,1077864,1040457,1.035952471
19-Jul,130,1118107,1077864,1.037335879
20-Jul,131,1154917,1118107,1.032921715
21-Jul,132,1194085,1154917,1.033914125
22-Jul,133,1239684,1194085,1.038187399
23-Jul,134,1288130,1239684,1.039079314
24-Jul,135,1337022,1288130,1.037955796
25-Jul,136,1385494,1337022,1.036253704
26-Jul,137,1436019,1385494,1.036467137
27-Jul,138,1482503,1436019,1.032370045
28-Jul,139,,,
29-Jul,140,,,
30-Jul,141,,,
31-Jul,142,,,
