Date,t,X,X',H,Y,Y',H'
26-Apr,1,738,,#DIV/0!,14,,#DIV/0!
27-Apr,2,752,738,1.01897019,14,14,1
28-Apr,3,824,752,1.095744681,14,14,1
29-Apr,4,882,824,1.07038835,14,14,1
30-Apr,5,943,882,1.069160998,16,14,1.142857143
01-May,6,1016,943,1.077412513,17,16,1.0625
02-May,7,1086,1016,1.068897638,18,17,1.058823529
03-May,8,1142,1086,1.051565378,20,18,1.111111111
04-May,9,1238,1142,1.084063047,21,20,1.05
05-May,10,1404,1238,1.134087237,21,21,1
06-May,11,1616,1404,1.150997151,21,21,1
07-May,12,1889,1616,1.168935644,21,21,1
08-May,13,2053,1889,1.086818422,21,21,1
09-May,14,2257,2053,1.09936678,21,21,1
10-May,15,2448,2257,1.084625609,21,21,1
11-May,16,2592,2448,1.058823529,23,21,1.095238095
12-May,17,2814,2592,1.085648148,25,23,1.086956522
13-May,18,3065,2814,1.089196873,25,25,1
14-May,19,3287,3065,1.072430669,36,25,1.44
15-May,20,3499,3287,1.064496501,38,36,1.055555556
16-May,21,3834,3499,1.09574164,47,38,1.236842105
17-May,22,4115,3834,1.073291601,48,47,1.021276596
18-May,23,4402,4115,1.069744836,57,48,1.1875
19-May,24,4714,4402,1.070876874,74,57,1.298245614
20-May,25,4900,4714,1.039456937,79,74,1.067567568
21-May,26,5268,4900,1.075102041,81,79,1.025316456
22-May,27,5717,5268,1.085231587,84,81,1.037037037
23-May,28,6130,5717,1.072240686,85,84,1.011904762
24-May,29,6625,6130,1.080750408,87,85,1.023529412
25-May,30,6958,6625,1.050264151,93,87,1.068965517
26-May,31,7315,6958,1.051307847,126,93,1.35483871
27-May,32,7781,7315,1.063704716,149,126,1.182539683
28-May,33,8220,7781,1.056419483,155,149,1.040268456
29-May,34,8638,8220,1.050851582,172,155,1.109677419
30-May,35,9123,8638,1.056147256,182,172,1.058139535
31-May,36,9585,9123,1.050641236,200,182,1.098901099
01-Jun,37,9941,9585,1.037141367,215,200,1.075
02-Jun,38,10404,9941,1.046574791,230,215,1.069767442
03-Jun,39,10865,10404,1.044309881,240,230,1.043478261
04-Jun,40,11420,10865,1.051081454,254,240,1.058333333
05-Jun,41,11877,11420,1.040017513,292,254,1.149606299
06-Jun,42,12464,11877,1.049423255,322,292,1.102739726
07-Jun,43,13014,12464,1.044127086,331,322,1.027950311
